"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,3.7446e+15,-1.6907e+20,2.4467e+27,1.049e+06,-3936,-1.3924e+06,0,16128,3.7446e+15,-1.6907e+20,2.4467e+27,1.049e+06,-3936,-1.3924e+06,"stress_x_0",0,16128,3.7446e+15,-1.6907e+20,2.4467e+27,1.049e+06,-3936,-1.3924e+06,"stress_x_0",0,16128,3.7446e+15,-1.6907e+20,2.4467e+27,1.049e+06,-3936,-1.3924e+06,"stress_x_0",0,16128,3.7446e+15,-1.6907e+20,2.4467e+27,1.049e+06,-3936,-1.3924e+06,"stress_x_0",0,16128,3.7446e+15,-1.6907e+20,2.4467e+27,1.049e+06,-3936,-1.3924e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,1.4966e+16,-1.1905e+21,3.9071e+28,2.083e+06,-3600.6,-2.7578e+06,0,16128,1.4966e+16,-1.1905e+21,3.9071e+28,2.083e+06,-3600.6,-2.7578e+06,"stress_x_0",0,16128,1.4966e+16,-1.1905e+21,3.9071e+28,2.083e+06,-3600.6,-2.7578e+06,"stress_x_0",0,16128,1.4966e+16,-1.1905e+21,3.9071e+28,2.083e+06,-3600.6,-2.7578e+06,"stress_x_0",0,16128,1.4966e+16,-1.1905e+21,3.9071e+28,2.083e+06,-3600.6,-2.7578e+06,"stress_x_0",0,16128,1.4966e+16,-1.1905e+21,3.9071e+28,2.083e+06,-3600.6,-2.7578e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,3.3674e+16,-4.0866e+21,1.9729e+29,3.1208e+06,-4272.9,-4.1301e+06,0,16128,3.3674e+16,-4.0866e+21,1.9729e+29,3.1208e+06,-4272.9,-4.1301e+06,"stress_x_0",0,16128,3.3674e+16,-4.0866e+21,1.9729e+29,3.1208e+06,-4272.9,-4.1301e+06,"stress_x_0",0,16128,3.3674e+16,-4.0866e+21,1.9729e+29,3.1208e+06,-4272.9,-4.1301e+06,"stress_x_0",0,16128,3.3674e+16,-4.0866e+21,1.9729e+29,3.1208e+06,-4272.9,-4.1301e+06,"stress_x_0",0,16128,3.3674e+16,-4.0866e+21,1.9729e+29,3.1208e+06,-4272.9,-4.1301e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,5.9862e+16,-9.8621e+21,6.2417e+29,4.1599e+06,-4635.3,-5.5052e+06,0,16128,5.9862e+16,-9.8621e+21,6.2417e+29,4.1599e+06,-4635.3,-5.5052e+06,"stress_x_0",0,16128,5.9862e+16,-9.8621e+21,6.2417e+29,4.1599e+06,-4635.3,-5.5052e+06,"stress_x_0",0,16128,5.9862e+16,-9.8621e+21,6.2417e+29,4.1599e+06,-4635.3,-5.5052e+06,"stress_x_0",0,16128,5.9862e+16,-9.8621e+21,6.2417e+29,4.1599e+06,-4635.3,-5.5052e+06,"stress_x_0",0,16128,5.9862e+16,-9.8621e+21,6.2417e+29,4.1599e+06,-4635.3,-5.5052e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,9.3536e+16,-1.9438e+22,1.5221e+30,5.1969e+06,-4914,-6.879e+06,0,16128,9.3536e+16,-1.9438e+22,1.5221e+30,5.1969e+06,-4914,-6.879e+06,"stress_x_0",0,16128,9.3536e+16,-1.9438e+22,1.5221e+30,5.1969e+06,-4914,-6.879e+06,"stress_x_0",0,16128,9.3536e+16,-1.9438e+22,1.5221e+30,5.1969e+06,-4914,-6.879e+06,"stress_x_0",0,16128,9.3536e+16,-1.9438e+22,1.5221e+30,5.1969e+06,-4914,-6.879e+06,"stress_x_0",0,16128,9.3536e+16,-1.9438e+22,1.5221e+30,5.1969e+06,-4914,-6.879e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.3469e+17,-3.3557e+22,3.1605e+30,6.2347e+06,-6024.8,-8.2508e+06,0,16128,1.3469e+17,-3.3557e+22,3.1605e+30,6.2347e+06,-6024.8,-8.2508e+06,"stress_x_0",0,16128,1.3469e+17,-3.3557e+22,3.1605e+30,6.2347e+06,-6024.8,-8.2508e+06,"stress_x_0",0,16128,1.3469e+17,-3.3557e+22,3.1605e+30,6.2347e+06,-6024.8,-8.2508e+06,"stress_x_0",0,16128,1.3469e+17,-3.3557e+22,3.1605e+30,6.2347e+06,-6024.8,-8.2508e+06,"stress_x_0",0,16128,1.3469e+17,-3.3557e+22,3.1605e+30,6.2347e+06,-6024.8,-8.2508e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.8332e+17,-5.3558e+22,5.8513e+30,7.2766e+06,-6480.5,-9.6195e+06,0,16128,1.8332e+17,-5.3558e+22,5.8513e+30,7.2766e+06,-6480.5,-9.6195e+06,"stress_x_0",0,16128,1.8332e+17,-5.3558e+22,5.8513e+30,7.2766e+06,-6480.5,-9.6195e+06,"stress_x_0",0,16128,1.8332e+17,-5.3558e+22,5.8513e+30,7.2766e+06,-6480.5,-9.6195e+06,"stress_x_0",0,16128,1.8332e+17,-5.3558e+22,5.8513e+30,7.2766e+06,-6480.5,-9.6195e+06,"stress_x_0",0,16128,1.8332e+17,-5.3558e+22,5.8513e+30,7.2766e+06,-6480.5,-9.6195e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,2.3944e+17,-8.0495e+22,9.9923e+30,8.3061e+06,-6655.5,-1.098e+07,0,16128,2.3944e+17,-8.0495e+22,9.9923e+30,8.3061e+06,-6655.5,-1.098e+07,"stress_x_0",0,16128,2.3944e+17,-8.0495e+22,9.9923e+30,8.3061e+06,-6655.5,-1.098e+07,"stress_x_0",0,16128,2.3944e+17,-8.0495e+22,9.9923e+30,8.3061e+06,-6655.5,-1.098e+07,"stress_x_0",0,16128,2.3944e+17,-8.0495e+22,9.9923e+30,8.3061e+06,-6655.5,-1.098e+07,"stress_x_0",0,16128,2.3944e+17,-8.0495e+22,9.9923e+30,8.3061e+06,-6655.5,-1.098e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,3.0304e+17,-1.1485e+23,1.6003e+31,9.3418e+06,-7118.2,-1.2357e+07,0,16128,3.0304e+17,-1.1485e+23,1.6003e+31,9.3418e+06,-7118.2,-1.2357e+07,"stress_x_0",0,16128,3.0304e+17,-1.1485e+23,1.6003e+31,9.3418e+06,-7118.2,-1.2357e+07,"stress_x_0",0,16128,3.0304e+17,-1.1485e+23,1.6003e+31,9.3418e+06,-7118.2,-1.2357e+07,"stress_x_0",0,16128,3.0304e+17,-1.1485e+23,1.6003e+31,9.3418e+06,-7118.2,-1.2357e+07,"stress_x_0",0,16128,3.0304e+17,-1.1485e+23,1.6003e+31,9.3418e+06,-7118.2,-1.2357e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
