"N","Time","avg(Cardinality)","avg(M2)","avg(M3)","avg(M4)","avg(Maximum)","avg(Mean)","avg(Minimum)","avg(vtkOriginalRowIds)","max(Cardinality)","max(M2)","max(M3)","max(M4)","max(Maximum)","max(Mean)","max(Minimum)","max(Variable)","max(vtkOriginalRowIds)","med(Cardinality)","med(M2)","med(M3)","med(M4)","med(Maximum)","med(Mean)","med(Minimum)","med(Variable)","med(vtkOriginalRowIds)","min(Cardinality)","min(M2)","min(M3)","min(M4)","min(Maximum)","min(Mean)","min(Minimum)","min(Variable)","min(vtkOriginalRowIds)","q1(Cardinality)","q1(M2)","q1(M3)","q1(M4)","q1(Maximum)","q1(Mean)","q1(Minimum)","q1(Variable)","q1(vtkOriginalRowIds)","q3(Cardinality)","q3(M2)","q3(M3)","q3(M4)","q3(Maximum)","q3(Mean)","q3(Minimum)","q3(Variable)","q3(vtkOriginalRowIds)","std(Cardinality)","std(M2)","std(M3)","std(M4)","std(Maximum)","std(Mean)","std(Minimum)","std(vtkOriginalRowIds)","vtkValidPointMask"
1,0,16128,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,16128,0,0,0,0,0,0,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.01,16128,3.1707e+15,-3.5118e+20,1.7742e+27,9.3755e+05,-9206.8,-1.3676e+06,0,16128,3.1707e+15,-3.5118e+20,1.7742e+27,9.3755e+05,-9206.8,-1.3676e+06,"stress_x_0",0,16128,3.1707e+15,-3.5118e+20,1.7742e+27,9.3755e+05,-9206.8,-1.3676e+06,"stress_x_0",0,16128,3.1707e+15,-3.5118e+20,1.7742e+27,9.3755e+05,-9206.8,-1.3676e+06,"stress_x_0",0,16128,3.1707e+15,-3.5118e+20,1.7742e+27,9.3755e+05,-9206.8,-1.3676e+06,"stress_x_0",0,16128,3.1707e+15,-3.5118e+20,1.7742e+27,9.3755e+05,-9206.8,-1.3676e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.02,16128,1.2587e+16,-2.5329e+21,2.776e+28,1.8108e+06,-6848.6,-2.6179e+06,0,16128,1.2587e+16,-2.5329e+21,2.776e+28,1.8108e+06,-6848.6,-2.6179e+06,"stress_x_0",0,16128,1.2587e+16,-2.5329e+21,2.776e+28,1.8108e+06,-6848.6,-2.6179e+06,"stress_x_0",0,16128,1.2587e+16,-2.5329e+21,2.776e+28,1.8108e+06,-6848.6,-2.6179e+06,"stress_x_0",0,16128,1.2587e+16,-2.5329e+21,2.776e+28,1.8108e+06,-6848.6,-2.6179e+06,"stress_x_0",0,16128,1.2587e+16,-2.5329e+21,2.776e+28,1.8108e+06,-6848.6,-2.6179e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.03,16128,2.831e+16,-8.7009e+21,1.4071e+29,2.7116e+06,-6967.1,-3.9244e+06,0,16128,2.831e+16,-8.7009e+21,1.4071e+29,2.7116e+06,-6967.1,-3.9244e+06,"stress_x_0",0,16128,2.831e+16,-8.7009e+21,1.4071e+29,2.7116e+06,-6967.1,-3.9244e+06,"stress_x_0",0,16128,2.831e+16,-8.7009e+21,1.4071e+29,2.7116e+06,-6967.1,-3.9244e+06,"stress_x_0",0,16128,2.831e+16,-8.7009e+21,1.4071e+29,2.7116e+06,-6967.1,-3.9244e+06,"stress_x_0",0,16128,2.831e+16,-8.7009e+21,1.4071e+29,2.7116e+06,-6967.1,-3.9244e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.04,16128,5.0325e+16,-2.0748e+22,4.4566e+29,3.6081e+06,-8612.6,-5.2125e+06,0,16128,5.0325e+16,-2.0748e+22,4.4566e+29,3.6081e+06,-8612.6,-5.2125e+06,"stress_x_0",0,16128,5.0325e+16,-2.0748e+22,4.4566e+29,3.6081e+06,-8612.6,-5.2125e+06,"stress_x_0",0,16128,5.0325e+16,-2.0748e+22,4.4566e+29,3.6081e+06,-8612.6,-5.2125e+06,"stress_x_0",0,16128,5.0325e+16,-2.0748e+22,4.4566e+29,3.6081e+06,-8612.6,-5.2125e+06,"stress_x_0",0,16128,5.0325e+16,-2.0748e+22,4.4566e+29,3.6081e+06,-8612.6,-5.2125e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.05,16128,7.8623e+16,-4.0994e+22,1.0858e+30,4.511e+06,-8197.8,-6.5242e+06,0,16128,7.8623e+16,-4.0994e+22,1.0858e+30,4.511e+06,-8197.8,-6.5242e+06,"stress_x_0",0,16128,7.8623e+16,-4.0994e+22,1.0858e+30,4.511e+06,-8197.8,-6.5242e+06,"stress_x_0",0,16128,7.8623e+16,-4.0994e+22,1.0858e+30,4.511e+06,-8197.8,-6.5242e+06,"stress_x_0",0,16128,7.8623e+16,-4.0994e+22,1.0858e+30,4.511e+06,-8197.8,-6.5242e+06,"stress_x_0",0,16128,7.8623e+16,-4.0994e+22,1.0858e+30,4.511e+06,-8197.8,-6.5242e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.06,16128,1.1321e+17,-7.1023e+22,2.2514e+30,5.414e+06,-9015.2,-7.8191e+06,0,16128,1.1321e+17,-7.1023e+22,2.2514e+30,5.414e+06,-9015.2,-7.8191e+06,"stress_x_0",0,16128,1.1321e+17,-7.1023e+22,2.2514e+30,5.414e+06,-9015.2,-7.8191e+06,"stress_x_0",0,16128,1.1321e+17,-7.1023e+22,2.2514e+30,5.414e+06,-9015.2,-7.8191e+06,"stress_x_0",0,16128,1.1321e+17,-7.1023e+22,2.2514e+30,5.414e+06,-9015.2,-7.8191e+06,"stress_x_0",0,16128,1.1321e+17,-7.1023e+22,2.2514e+30,5.414e+06,-9015.2,-7.8191e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.07,16128,1.5409e+17,-1.1299e+23,4.1723e+30,6.3145e+06,-10075,-9.1234e+06,0,16128,1.5409e+17,-1.1299e+23,4.1723e+30,6.3145e+06,-10075,-9.1234e+06,"stress_x_0",0,16128,1.5409e+17,-1.1299e+23,4.1723e+30,6.3145e+06,-10075,-9.1234e+06,"stress_x_0",0,16128,1.5409e+17,-1.1299e+23,4.1723e+30,6.3145e+06,-10075,-9.1234e+06,"stress_x_0",0,16128,1.5409e+17,-1.1299e+23,4.1723e+30,6.3145e+06,-10075,-9.1234e+06,"stress_x_0",0,16128,1.5409e+17,-1.1299e+23,4.1723e+30,6.3145e+06,-10075,-9.1234e+06,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.08,16128,2.0124e+17,-1.7035e+23,7.1209e+30,7.2085e+06,-8498.9,-1.0419e+07,0,16128,2.0124e+17,-1.7035e+23,7.1209e+30,7.2085e+06,-8498.9,-1.0419e+07,"stress_x_0",0,16128,2.0124e+17,-1.7035e+23,7.1209e+30,7.2085e+06,-8498.9,-1.0419e+07,"stress_x_0",0,16128,2.0124e+17,-1.7035e+23,7.1209e+30,7.2085e+06,-8498.9,-1.0419e+07,"stress_x_0",0,16128,2.0124e+17,-1.7035e+23,7.1209e+30,7.2085e+06,-8498.9,-1.0419e+07,"stress_x_0",0,16128,2.0124e+17,-1.7035e+23,7.1209e+30,7.2085e+06,-8498.9,-1.0419e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
1,0.09,16128,2.5469e+17,-2.4204e+23,1.1396e+31,8.1231e+06,-9960.7,-1.1741e+07,0,16128,2.5469e+17,-2.4204e+23,1.1396e+31,8.1231e+06,-9960.7,-1.1741e+07,"stress_x_0",0,16128,2.5469e+17,-2.4204e+23,1.1396e+31,8.1231e+06,-9960.7,-1.1741e+07,"stress_x_0",0,16128,2.5469e+17,-2.4204e+23,1.1396e+31,8.1231e+06,-9960.7,-1.1741e+07,"stress_x_0",0,16128,2.5469e+17,-2.4204e+23,1.1396e+31,8.1231e+06,-9960.7,-1.1741e+07,"stress_x_0",0,16128,2.5469e+17,-2.4204e+23,1.1396e+31,8.1231e+06,-9960.7,-1.1741e+07,"stress_x_0",0,0,0,0,0,0,0,0,0,1
